"Play That Funky Music","Wild Cherry","Wild Cherry","People Jams","Playlist","USSM19912699"
"Upside Down","Jack Johnson","Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George","People Jams","Playlist","USUG10500591"
"Boogie Shoes","KC & The Sunshine Band","KC & the Sunshine Band... and More","People Jams","Playlist","USRH10175349"
"Take Me Out","Franz Ferdinand","Franz Ferdinand","People Jams","Playlist","GBCEL0300192"
"Surrender","Cheap Trick","Heaven Tonight","People Jams","Playlist","USSM19802566"
"All Night Long (Single Version)","Lionel Richie","Back To Front","People Jams","Playlist","USMO18390005"
"Fame","Irene Cara","Fame (Original Motion Picture Soundtrack)","People Jams","Playlist","USNLR1200531"
"Funkytown","Lipps Inc.","Mouth to Mouth","People Jams","Playlist","USIR20300047"
"More Than A Woman (From ""Saturday Night Fever"" Soundtrack)","Bee Gees","Greatest","People Jams","Playlist","NLF057790033"
"Low Rider","War","Why Can't We Be Friends?","People Jams","Playlist","USRHD0610212"
"Lady (Hear Me Tonight)","Modjo","Modjo","People Jams","Playlist","FR9W10100535"
"Waterloo","ABBA","Waterloo","People Jams","Playlist","SEAYD7415010"
"Night Fever (From ""Saturday Night Fever"" Soundtrack)","Bee Gees","Greatest","People Jams","Playlist","NLF057790035"
"Oh, Pretty Woman","Roy Orbison","Oh, Pretty Woman","People Jams","Playlist","USSM16401425"
"The Thrill","Wiz Khalifa","The Thrill (feat. Empire of the Sun)","People Jams","Playlist","USA2P2033760"
"Bring The Drums Back","NOISY","Press Space To Play (EP)","People Jams","Playlist","GBUM72000023"
"Love Train","The O'Jays","Back Stabbers","People Jams","Playlist","USSM17200048"
"I'm A Believer (From ""Shrek"" Motion Picture Soundtrack)","Smash Mouth","Shrek","People Jams","Playlist","USDW10110177"
"It's Raining Men","The Weather Girls","Success","People Jams","Playlist","USSM18200382"
"My Girl","The Temptations","The Temptations Sing Smokey","People Jams","Playlist","USMO16490001"
"Stuck In The Middle With You","Stealers Wheel","Stealers Wheel","People Jams","Playlist","GBAAM7200002"
"Hit the Road Jack","Ray Charles","True Genius","People Jams","Playlist","QZR8K2111005"
"You're My Best Friend","Queen","A Night At The Opera (Deluxe Remastered Version)","People Jams","Playlist","GBUM71029609"
"In My Life (Remastered 2009)","The Beatles","Rubber Soul (Remastered 2009)","People Jams","Playlist","GBAYE0601489"
"Right Back Where We Started From","Maxine Nightingale","Right Back Where We Started From","People Jams","Playlist","GBAYE7500076"
"Get Down On It (Single Version)","Kool & The Gang","Collected","People Jams","Playlist","USPR38100044"
"December, 1963 (Oh What a Night!)","The Four Seasons","Who Loves You","People Jams","Playlist","USRH10175221"
